#           k/h    P           
   0.466177E+00   0.373423E+03
   0.467981E+00   0.370357E+03
   0.469786E+00   0.367317E+03
   0.471590E+00   0.364303E+03
   0.473394E+00   0.361317E+03
   0.475198E+00   0.358361E+03
   0.477003E+00   0.355436E+03
   0.478807E+00   0.352544E+03
   0.480611E+00   0.349687E+03
   0.482415E+00   0.346867E+03
   0.484219E+00   0.344086E+03
   0.486024E+00   0.341343E+03
   0.487828E+00   0.338640E+03
   0.489632E+00   0.335976E+03
   0.491436E+00   0.333350E+03
   0.493240E+00   0.330763E+03
   0.495045E+00   0.328212E+03
   0.496849E+00   0.325698E+03
   0.498653E+00   0.323220E+03
   0.500457E+00   0.320776E+03
   0.502261E+00   0.318366E+03
   0.504066E+00   0.315986E+03
   0.505870E+00   0.313635E+03
   0.507674E+00   0.311311E+03
   0.509478E+00   0.309013E+03
   0.511283E+00   0.306738E+03
   0.513087E+00   0.304486E+03
   0.514891E+00   0.302256E+03
   0.516695E+00   0.300046E+03
   0.518499E+00   0.297856E+03
   0.520304E+00   0.295684E+03
   0.522108E+00   0.293529E+03
   0.523912E+00   0.291391E+03
   0.525716E+00   0.289269E+03
   0.527520E+00   0.287163E+03
   0.529325E+00   0.285073E+03
   0.531129E+00   0.283001E+03
   0.532933E+00   0.280946E+03
   0.534737E+00   0.278908E+03
   0.536541E+00   0.276888E+03
   0.538346E+00   0.274884E+03
   0.540150E+00   0.272899E+03
   0.541954E+00   0.270932E+03
   0.543758E+00   0.268985E+03
   0.545563E+00   0.267057E+03
   0.547367E+00   0.265150E+03
   0.549171E+00   0.263263E+03
   0.550975E+00   0.261397E+03
   0.552779E+00   0.259552E+03
   0.554584E+00   0.257726E+03
   0.556388E+00   0.255921E+03
   0.558192E+00   0.254136E+03
   0.559996E+00   0.252371E+03
   0.561800E+00   0.250627E+03
   0.563605E+00   0.248902E+03
   0.565409E+00   0.247197E+03
   0.567213E+00   0.245510E+03
   0.569017E+00   0.243841E+03
   0.570821E+00   0.242189E+03
   0.572626E+00   0.240554E+03
   0.577575E+00   0.236151E+03
   0.585175E+00   0.229606E+03
   0.592874E+00   0.223210E+03
   0.600675E+00   0.216957E+03
   0.608579E+00   0.210849E+03
   0.616586E+00   0.204901E+03
   0.624699E+00   0.199119E+03
   0.632919E+00   0.193508E+03
   0.641246E+00   0.188057E+03
   0.649684E+00   0.182756E+03
   0.700132E+00   0.154963E+03
   0.754497E+00   0.131226E+03
   0.813084E+00   0.110967E+03
   0.876220E+00   0.937075E+02
   0.944258E+00   0.790314E+02
   0.101758E+01   0.665728E+02
   0.109660E+01   0.560099E+02
   0.118175E+01   0.470684E+02
   0.127351E+01   0.395110E+02
   0.137240E+01   0.331307E+02
   0.147896E+01   0.277520E+02
   0.159380E+01   0.232229E+02
   0.171756E+01   0.194142E+02
