  k [h/Mpc]      delta b
 0.144128    0.00076308
 0.144319    0.000762625
 0.144511    0.000762176
 0.144702    0.000761731
 0.144893    0.000761292
 0.145084    0.000760858
 0.145275    0.000760429
 0.145466    0.000760005
 0.145658    0.000759586
 0.145849    0.000759171
 0.14604     0.00075876
 0.146231    0.000758354
 0.146422    0.000757952
 0.146614    0.000757554
 0.146805    0.00075716
 0.146996    0.00075677
 0.147187    0.000756384
 0.147378    0.000756001
 0.14757     0.000755622
 0.147761    0.000755246
 0.147952    0.000754873
 0.148143    0.000754503
 0.148334    0.000754137
 0.148526    0.000753773
 0.148717    0.000753412
 0.148908    0.000753053
 0.149099    0.000752697
 0.14929     0.000752344
 0.149481    0.000751992
 0.149673    0.000751643
 0.149864    0.000751296
 0.150055    0.00075095
 0.150246    0.000750606
 0.150437    0.000750264
 0.150629    0.000749923
 0.15082     0.000749584
 0.151011    0.000749246
 0.151202    0.000748909
 0.151393    0.000748572
 0.151585    0.000748237
 0.151776    0.000747902
 0.151967    0.000747568
 0.152158    0.000747235
 0.152349    0.000746902
 0.152541    0.000746568
 0.152732    0.000746236
 0.152923    0.000745903
 0.153114    0.00074557
 0.153305    0.000745236
 0.153496    0.000744903
 0.153688    0.000744569
 0.153879    0.000744234
 0.15407     0.000743899
 0.154261    0.000743563
 0.154452    0.000743226
 0.154644    0.000742889
 0.154835    0.00074255
 0.155026    0.00074221
 0.155217    0.000741868
 0.155408    0.000741525
 0.1556      0.000741181
 0.155791    0.000740835
 0.155982    0.000740487
 0.156173    0.000740137
 0.156364    0.000739786
 0.156556    0.000739432
 0.156747    0.000739076
 0.156938    0.000738718
 0.157129    0.000738357
 0.15732     0.000737994
 0.157512    0.000737628
 0.157703    0.00073726
 0.157894    0.000736889
 0.158085    0.000736515
 0.158276    0.000736138
 0.158467    0.000735758
 0.158659    0.000735376
 0.15885     0.00073499
 0.159041    0.000734602
 0.159232    0.00073421
 0.159423    0.000733815
 0.159615    0.000733417
 0.159806    0.000733015
 0.159997    0.000732611
 0.160188    0.000732202
 0.160379    0.000731791
 0.160571    0.000731375
 0.160762    0.000730957
 0.160953    0.000730534
 0.161144    0.000730108
 0.161335    0.000729678
 0.161527    0.000729244
 0.161718    0.000728806
 0.161909    0.000728365
 0.1621      0.000727919
 0.162291    0.000727469
 0.162482    0.000727016
 0.162674    0.000726558
 0.162865    0.000726096
 0.163056    0.00072563
 0.163247    0.000725159
 0.163438    0.000724685
 0.16363     0.000724207
 0.163821    0.000723724
 0.164012    0.000723237
 0.164203    0.000722746
 0.164394    0.000722251
 0.164586    0.000721752
 0.164777    0.000721249
 0.164968    0.000720741
 0.165159    0.000720229
 0.16535     0.000719713
 0.165542    0.000719193
 0.165733    0.000718669
 0.165924    0.000718141
 0.166115    0.000717609
 0.166306    0.000717072
 0.166497    0.000716531
 0.166689    0.000715986
 0.16688     0.000715437
 0.167071    0.000714884
 0.167262    0.000714327
 0.167453    0.000713765
 0.167645    0.000713199
 0.167836    0.00071263
 0.168027    0.000712056
 0.168218    0.000711478
 0.168409    0.000710896
 0.168601    0.00071031
 0.168792    0.00070972
 0.168983    0.000709127
 0.169174    0.00070853
 0.169365    0.000707929
 0.169557    0.000707325
 0.169748    0.000706717
 0.169939    0.000706105
 0.17013     0.000705491
 0.170321    0.000704873
 0.170513    0.000704251
 0.170704    0.000703627
 0.170895    0.000702999
 0.171086    0.000702368
 0.171277    0.000701735
 0.171468    0.000701098
 0.17166     0.000700459
 0.171851    0.000699816
 0.172042    0.000699171
 0.172233    0.000698523
 0.172424    0.000697873
 0.172616    0.00069722
 0.172807    0.000696564
 0.172998    0.000695907
 0.173189    0.000695246
 0.17338     0.000694584
