  k [h/Mpc]    covariance [h/Mpc]^5
 0.168393               1.66754
 0.16859                1.67561
 0.168786               1.68368
 0.168982               1.69176
 0.169178               1.69983
 0.169374               1.7079
 0.169571               1.71598
 0.169767               1.72405
 0.169963               1.73212
 0.170159               1.7402
 0.170355               1.74827
 0.170552               1.75634
 0.170748               1.76442
 0.170944               1.77249
 0.17114                1.78056
 0.171336               1.78864
 0.171533               1.79671
 0.171729               1.8047
 0.171925               1.81261
 0.172121               1.82052
 0.172317               1.82844
 0.172514               1.83635
 0.17271                1.84426
 0.172906               1.85218
 0.173102               1.86009
 0.173298               1.868
 0.173494               1.87592
 0.173691               1.88383
 0.173887               1.89174
 0.174083               1.89966
 0.174279               1.90757
 0.174475               1.91549
 0.174672               1.9234
 0.174868               1.93131
 0.175064               1.93923
 0.17526                1.94714
 0.175456               1.95505
 0.175653               1.96297
 0.175849               1.97088
 0.176045               1.97879
 0.176241               1.98671
 0.176437               1.99462
 0.176634               2.00253
 0.17683                2.01045
 0.177026               2.01836
 0.177222               2.02628
 0.177418               2.03419
 0.177615               2.0421
 0.177811               2.05002
 0.178007               2.05793
 0.178203               2.06584
 0.178399               2.07376
 0.178596               2.08167
 0.178792               2.08958
 0.178988               2.0975
 0.179184               2.10541
 0.17938                2.11332
 0.179577               2.12124
 0.179773               2.12915
 0.179969               2.13706
 0.180165               2.14498
 0.180361               2.15289
 0.180558               2.16081
 0.180754               2.16931
 0.18095                2.17798
 0.181146               2.18664
 0.181342               2.19531
 0.181539               2.20398
 0.181735               2.21265
 0.181931               2.22132
 0.182127               2.22999
 0.182323               2.23866
 0.18252                2.24733
 0.182716               2.256
 0.182912               2.26467
 0.183108               2.27334
 0.183304               2.28201
 0.183501               2.29067
 0.183697               2.29934
 0.183893               2.30801
 0.184089               2.31668
 0.184285               2.32535
 0.184481               2.33402
 0.184678               2.34269
 0.184874               2.35136
 0.18507                2.36003
 0.185266               2.3687
 0.185462               2.37737
 0.185659               2.38604
 0.185855               2.3947
 0.186051               2.40337
 0.186247               2.41204
 0.186443               2.42071
 0.18664                2.42938
 0.186836               2.43805
 0.187032               2.44672
 0.187228               2.45539
 0.187424               2.46406
 0.187621               2.47273
 0.187817               2.4814
 0.188013               2.49007
 0.188209               2.49873
 0.188405               2.5074
 0.188602               2.51607
 0.188798               2.52474
