  k [h/Mpc]    inverse covariance [h/Mpc]^5
 0.137983                       0.617936
 0.138179                       0.622102
 0.138375                       0.626269
 0.138572                       0.630436
 0.138768                       0.634603
 0.138964                       0.63877
 0.13916                        0.642936
 0.139356                       0.647103
 0.139553                       0.65127
 0.139749                       0.655437
 0.139945                       0.659604
 0.140141                       0.663889
 0.140337                       0.668786
 0.140534                       0.673683
 0.14073                        0.67858
 0.140926                       0.683477
 0.141122                       0.688373
 0.141318                       0.69327
 0.141515                       0.698167
 0.141711                       0.703064
 0.141907                       0.707961
 0.142103                       0.712858
 0.142299                       0.717754
 0.142495                       0.722651
 0.142692                       0.727548
 0.142888                       0.732445
 0.143084                       0.737342
 0.14328                        0.742239
 0.143476                       0.747135
 0.143673                       0.752032
 0.143869                       0.757542
 0.144065                       0.763228
 0.144261                       0.768915
 0.144457                       0.774601
 0.144654                       0.780288
 0.14485                        0.785974
 0.145046                       0.79166
 0.145242                       0.797347
 0.145438                       0.803033
 0.145635                       0.80872
 0.145831                       0.814406
 0.146027                       0.820093
 0.146223                       0.825779
 0.146419                       0.831465
 0.146616                       0.837152
 0.146812                       0.842838
 0.147008                       0.848525
 0.147204                       0.854211
 0.1474                         0.859897
 0.147597                       0.866307
 0.147793                       0.872782
 0.147989                       0.879258
 0.148185                       0.885734
 0.148381                       0.892209
 0.148578                       0.898685
 0.148774                       0.90516
 0.14897                        0.911636
 0.149166                       0.918112
 0.149362                       0.924587
 0.149559                       0.931063
 0.149755                       0.937538
 0.149951                       0.944014
 0.150147                       0.950489
 0.150343                       0.956965
 0.15054                        0.963441
 0.150736                       0.969916
 0.150932                       0.976392
 0.151128                       0.982867
 0.151324                       0.989748
 0.151521                       0.996934
 0.151717                       1.00412
 0.151913                       1.01131
 0.152109                       1.01849
 0.152305                       1.02568
 0.152502                       1.03286
 0.152698                       1.04005
 0.152894                       1.04723
 0.15309                        1.05442
 0.153286                       1.06161
 0.153482                       1.06879
 0.153679                       1.07598
 0.153875                       1.08316
 0.154071                       1.09035
 0.154267                       1.09754
 0.154463                       1.10472
 0.15466                        1.11191
 0.154856                       1.11909
 0.155052                       1.12628
 0.155248                       1.13386
 0.155444                       1.14159
 0.155641                       1.14933
 0.155837                       1.15706
 0.156033                       1.16479
 0.156229                       1.17252
 0.156425                       1.18025
 0.156622                       1.18799
 0.156818                       1.19572
 0.157014                       1.20345
 0.15721                        1.21118
 0.157406                       1.21891
 0.157603                       1.22665
 0.157799                       1.23438
 0.157995                       1.24211
