  k [h/Mpc]        mu=0      mu=0.5       mu=1
 0.437113      -33.1318    -48.1592   -132.056
 0.438346      -32.9718    -47.9301   -131.512
 0.439579      -32.8167    -47.7079   -130.983
 0.440812      -32.6617    -47.4857   -130.454
 0.442045      -32.5067    -47.2635   -129.925
 0.443278      -32.3517    -47.0413   -129.396
 0.444511      -32.1988    -46.8222   -128.873
 0.445744      -32.0484    -46.6065   -128.359
 0.446977      -31.898     -46.3908   -127.844
 0.448211      -31.7475    -46.1751   -127.33
 0.449444      -31.5971    -45.9594   -126.815
 0.450677      -31.4505    -45.7499   -126.316
 0.45191       -31.3044    -45.5411   -125.82
 0.453143      -31.1584    -45.3324   -125.323
 0.454376      -31.0123    -45.1236   -124.826
 0.455609      -30.8673    -44.9165   -124.334
 0.456842      -30.7258    -44.715    -123.856
 0.458075      -30.5842    -44.5134   -123.377
 0.459308      -30.4427    -44.3119   -122.899
 0.460541      -30.3012    -44.1103   -122.421
 0.461774      -30.162     -43.9124   -121.951
 0.463008      -30.0252    -43.718    -121.49
 0.464241      -29.8884    -43.5236   -121.029
 0.465474      -29.7515    -43.3291   -120.568
 0.466707      -29.6147    -43.1347   -120.107
 0.46794       -29.4814    -42.9453   -119.657
 0.469173      -29.3493    -42.7577   -119.211
 0.470406      -29.2172    -42.5701   -118.766
 0.471639      -29.0851    -42.3825   -118.32
 0.472872      -28.953     -42.1949   -117.875
 0.474105      -28.8251    -42.0133   -117.442
 0.475338      -28.6977    -41.8323   -117.011
 0.476571      -28.5703    -41.6513   -116.579
 0.477805      -28.4429    -41.4704   -116.148
 0.479038      -28.3155    -41.2894   -115.717
 0.480271      -28.1922    -41.1142   -115.298
 0.481504      -28.0689    -40.939    -114.88
 0.482737      -27.9455    -40.7639   -114.462
 0.48397       -27.8222    -40.5887   -114.044
 0.485203      -27.699     -40.4137   -113.626
 0.486436      -27.5798    -40.2438   -113.218
 0.487669      -27.4606    -40.074    -112.809
 0.488902      -27.3414    -39.9041   -112.401
 0.490135      -27.2222    -39.7343   -111.993
 0.491368      -27.1031    -39.5645   -111.585
 0.492602      -26.9882    -39.4002   -111.187
 0.493835      -26.8733    -39.2358   -110.789
 0.495068      -26.7585    -39.0715   -110.391
 0.496301      -26.6436    -38.9071   -109.993
 0.497534      -26.5287    -38.7428   -109.595
 0.498767      -26.4175    -38.5832   -109.206
 0.5           -26.3066    -38.4241   -108.819
