Derivative of the nonlinear power spectrum - calculated with velocileptors using a linear eulerian bias b = 1.5 - with respect to m_ncdm at z=2, using the fiducial cosmological parameters listed below:
   'A_s': 2.10732e-9,
   'n_s': 0.96824,
   'alpha_s': 0.,
   'h': 0.6770,
   'N_ur': 2.0328,
   'N_ncdm': 1,
   'm_ncdm': 0.06,
   'tau_reio': 0.0568,
   'omega_b': 0.02247,
   'omega_cdm': 0.11923,
   'Omega_k': 0.

k [h/Mpc]        mu=0     mu=0.5       mu=1
 0.475338     -103.539    -138.73    -376.991
 0.476571     -103.092    -138.102   -375.452
 0.477805     -102.644    -137.474   -373.913
 0.479038     -102.197    -136.846   -372.374
 0.480271     -101.764    -136.237   -370.876
 0.481504     -101.331    -135.628   -369.377
 0.482737     -100.898    -135.02    -367.878
 0.48397      -100.465    -134.411   -366.379
 0.485203     -100.032    -133.803   -364.882
 0.486436      -99.613    -133.212   -363.417
 0.487669      -99.1938   -132.621   -361.953
 0.488902      -98.7747   -132.03    -360.488
 0.490135      -98.3555   -131.439   -359.023
 0.491368      -97.9365   -130.849   -357.559
 0.492602      -97.531    -130.275   -356.129
 0.493835      -97.1254   -129.701   -354.698
 0.495068      -96.7199   -129.128   -353.268
 0.496301      -96.3143   -128.554   -351.837
 0.497534      -95.9088   -127.981   -350.407
 0.498767      -95.5151   -127.423   -349.009
 0.5           -95.1223   -126.866   -347.614
